garnish_name,garnish_category
Absinthe,Spirit
Angostora Bitters,Bitters
Angostura Bitters,Bitters
Atomized Bitters,Bitters
Berries,Fruit
Blackberry,Fruit
Brandied Cherry,Fruit
Candied Ginger,Seasoning
Celery Stalk,Vegetable
Cherry,Fruit
Cinnamon,Seasoning
Cocktail Umbrella,Paper
Coffee Beans,Coffee
Cucumber Wheel,Vegetable
Dried Rose Buds,Plant
Flaming Sugar Cube Lime Boat,Sweetner
Fruit,Fruit
Grated Nutmeg,Seasoning
Green Olives,Vegetable
Lemon Slice,Fruit
Lemon Twist,Fruit
Lemon Wheel,Fruit
Lime Wedge,Fruit
Lime Wheel,Fruit
Olives,Vegetable
Orange Slice,Fruit
Orange Twist,Fruit
Orange Wedge,Fruit
Orchid,Plant
Palm Fronds,Plant
Peach Slice,Fruit
Pepper,Seasoning
Pickled Onion,Vegetable
Pineapple Wedge,Fruit
Rasberry,Fruit
Salt,Seasoning
Sprig of Mint,Herb
Sugar,Sweetner
Whipped Cream,Dairy