ingredient_name,ingredient_category
Absinthe,Spirit
Agave Syrup,Sweetner
Allspice,Seasoning
Allspice Dram,Liqueur
Amaretto,Liqueur
Amaro Averna,Liqueur
Amaro Nonino,Liqueur
Angostura Bitters,Bitters
Aperol,Apéritif
Apple Ribbon,Fruit
Applejack,Spirit
Apricot Liqueur,Liqueur
Bacardi Light Rum,Spirit
Baileys Irish Cream Liqueur,Liqueur
Benedictine,Liqueur
Black Pepper,Seasoning
Blanc Vermouth,Apéritif
Blanco Tequila,Spirit
Blended Scotch,Spirit
Bourbon,Spirit
Brandied Cherry,Fruit
Brandy,Spirit
Cachaça,Spirit
Calvados,Spirit
Campari,Liqueur
Celery Salt,Seasoning
Chambord,Liqueur
Champagne,Wine
Cherry Liqueur,Liqueur
Club Soda,Carbonated Drink
Coca Cola,Carbonated Drink
Coffee Liqueur,Liqueur
Cognac,Spirit
Cointreau,Liqueur
Cola Syrup,Sweetner
Cranberry Juice,Fruit Juice
Cream,Dairy
Cream of Coconut,Sweetner
Crème de Cassis,Liqueur
Crème de Framboise,Liqueur
Crème de Mure,Liqueur
Crème de Violette,Liqueur
Crushed Ice,Water
Cucumber Ribbon,Vegetable
Cucumber Wheel,Vegetable
Dark Crème de Cacao,Liqueur
Dark Rum,Spirit
Demerara Rum,Spirit
Demerara Sugar,Sweetner
Demerara Syrup,Sweetner
Drambuie,Liqueur
Dry Curaçao,Liqueur
Dry Red Wine,Wine
Dry Vermouth,Apéritif
Dry White Wine,Wine
Egg,Protein
Egg White,Protein
Espresso,Coffee
Falernum,Liqueur
Fassionola Syrup,Sweetner
Fernet,Spirit
Fresh Blood Orange Juice,Fruit Juice
Fresh Grapefruit Juice,Fruit Juice
Fresh Lemon Juice,Fruit Juice
Fresh Lime Juice,Fruit Juice
Fresh Orange Juice,Fruit Juice
Frozen Rosé,Wine
Galliano,Liqueur
Ginger Ale,Carbonated Drink
Ginger Beer,Beer
Ginger Syrup,Sweetner
Gold Rum,Spirit
Gomme Syrup,Sweetner
Gardenia Mix,Liqueur
Grand Marneir Liqueur,Liqueur
Grapefruit Juice,Fruit Juice
Grapefruit Slices,Fruit
Grapefruit Soda,Carbonated Drink
Grated Nutmeg,Seasoning
Green Chartreuse,Liqueur
Green Crème de Menthe,Liqueur
Grenadine,Sweetner
Guava Juice,Fruit Juice
Half & Half,Dairy
Heavy Cream,Dairy
Herbstura,Bitters
Honey Syrup,Sweetner
Horseradish,Condiment
Hot Coffee,Coffee
Hot Sauce,Condiment
Hot Water,Water
Ice,Water
Ice Cold Water,Water
Irish Whiskey,Spirit
Islay Scotch,Spirit
Jamaican Rum,Spirit
Kahlúa,Liqueur
Kina L'Aero D'or,Apéritif
Kirsch,Liqueur
Lemon Lime Soda,Carbonated Drink
Lemon Slices,Fruit
Lemon Twist,Fruit
Lemon Wedge,Fruit
Light Rum,Spirit
Lillet Blanc,Wine
Lime Wedge,Fruit
London Dry Gin,Spirit
Luxardo Bitter Bianco,Apéritif
Maraschino Liqueur,Liqueur
Mint Leaves,Herb
Old Tom Gin,Spirit
Olive Brine,Condiment
Orange Bitters,Bitters
Orange Flower Water,Bitters
Orange Wedge,Fruit
Orgeat,Sweetner
Passionfruit Juice,Fruit Juice
Peach Bitters,Bitters
Peach Liqueur,Liqueur
Peach Purée,Fruit
Pepper,Seasoning
Peychaud's Bitters,Bitters
Pimm's #1,Liqueur
Pineapple Juice,Fruit Juice
Pineapple Wedges,Fruit
Pisco,Spirit
Prosecco,Wine
Puerto Rican Rum,Spirit
Punt e Mes,Apéritif
Rasberries,Fruit
Rasberry Syrup,Sweetner
Rhum Agroicole,Spirit
Rhum Barbancourt White,Spirit
Rich Simple Syrup,Sweetner
Rosewater,Water
Ruby Port,Wine
Rye,Spirit
Salt,Seasoning
Scotch,Spirit
Seltzer,Carbonated Drink
Simple Syrup,Sweetner
Sloe Gin,Spirit
Smith & Cross Rum,Spirit
Smoked Paprika,Seasoning
Soda,Carbonated Drink
Southern Comfort,Liqueur
Sparkling Water,Carbonated Drink
Spiced Rum,Spirit
Strawberries,Fruit
Strawberry Slices,Fruit
Strawberry Syrup,Sweetner
Sugar,Sweetner
Sugar Cube,Sweetner
Superfine Sugar,Sweetner
Sweet Vermouth,Apéritif
Tabasco Sauce,Condiment
Tequila,Spirit
Tomato Juice,Fruit Juice
Tonic Water,Carbonated Drink
Triple Sec,Liqueur
Unsalted Butter,Dairy
Velvet Falernum,Liqueur
Vodka,Spirit
Whisk(e)y,Spirit
White Crème De Cacao,Liqueur
White Crème de Menthe,Liqueur
Whole Egg,Protein
Whole Lime,Fruit
Whole Milk,Dairy
Worcestershire Sauce,Condiment